acpi 1.8-2
wireplumber 0.5.12-1
xclip 0.13-6
xdg-desktop-portal-gtk 1.15.3-1
xdg-utils 1.2.1-1
xkb-switch 1.8.5-1
xorg-xbacklight 1.2.4-1
xorg-xev 1.2.6-1
xorg-xinit 1.4.4-1
xorg-xrandr 1.5.3-1
xournalpp 1.2.7-1
xsel 1.2.1-2
xss-lock 0.3.0.r30.gac39fdc-1
xterm 403-1
yay 12.5.2-2
zip 3.0-11
